Area_Name,Year,Group_Name,K_A_Cases_Reported,K_A_Female_10_15_Years,K_A_Female_15_18_Years,K_A_Female_18_30_Years,K_A_Female_30_50_Years,K_A_Female_Above_50_Years,K_A_Female_Total,K_A_Female_Upto_10_Years,K_A_Grand_Total,K_A_Male_10_15_Years,K_A_Male_15_18_Years,K_A_Male_18_30_Years,K_A_Male_30_50_Years,K_A_Male_Above_50_Years,K_A_Male_Total,K_A_Male_Upto_10_Years
Uttar Pradesh,2001,Kidnap - For Begging,5,0,0,0,0,0,0,0,5,2,0,0,0,0,5,3
West Bengal,2001,Kidnap - For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2001,Kidnap - For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,Kidnap - For Illicit Intercourse,78,25,24,25,2,0,78,2,78,0,0,0,0,0,0,0
Arunachal Pradesh,2001,Kidnap - For Illicit Intercourse,7,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0
Assam,2001,Kidnap - For Illicit Intercourse,65,4,20,28,12,0,65,1,65,0,0,0,0,0,0,0
Bihar,2001,Kidnap - For Illicit Intercourse,46,2,5,35,4,0,46,0,46,0,0,0,0,0,0,0
Chandigarh,2001,Kidnap - For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2001,Kidnap - For Illicit Intercourse,3,2,0,1,0,0,3,0,3,0,0,0,0,0,0,0
Delhi,2001,Kidnap - For Illicit Intercourse,14,6,5,2,0,0,13,0,14,0,1,0,0,0,1,0
Goa,2001,Kidnap - For Illicit Intercourse,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Gujarat,2001,Kidnap - For Illicit Intercourse,141,19,62,42,3,0,128,2,141,3,5,5,0,0,13,0
Haryana,2001,Kidnap - For Illicit Intercourse,95,27,48,17,0,0,95,3,95,0,0,0,0,0,0,0
Himachal Pradesh,2001,Kidnap - For Illicit Intercourse,6,1,5,0,0,0,6,0,6,0,0,0,0,0,0,0
Jammu & Kashmir,2001,Kidnap - For Illicit Intercourse,203,4,79,104,14,0,203,2,203,0,0,0,0,0,0,0
Jharkhand,2001,Kidnap - For Illicit Intercourse,13,0,5,9,2,0,16,0,20,0,0,4,0,0,4,0
Karnataka,2001,Kidnap - For Illicit Intercourse,11,0,3,6,1,0,11,1,11,0,0,0,0,0,0,0
Kerala,2001,Kidnap - For Illicit Intercourse,9,1,4,0,1,0,8,2,10,2,0,0,0,0,2,0
Madhya Pradesh,2001,Kidnap - For Illicit Intercourse,101,19,41,17,4,0,83,2,101,12,5,0,0,0,18,1
Maharashtra,2001,Kidnap - For Illicit Intercourse,54,13,4,23,4,0,48,4,55,1,0,0,3,0,7,3
Meghalaya,2001,Kidnap - For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2001,Kidnap - For Illicit Intercourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,Kidnap - For Illicit Intercourse,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Odisha,2001,Kidnap - For Illicit Intercourse,91,0,55,36,0,0,91,0,91,0,0,0,0,0,0,0
Punjab,2001,Kidnap - For Illicit Intercourse,74,16,40,4,5,0,65,0,74,0,7,2,0,0,9,0
Rajasthan,2001,Kidnap - For Illicit Intercourse,44,2,4,31,7,0,44,0,44,0,0,0,0,0,0,0
Tamil Nadu,2001,Kidnap - For Illicit Intercourse,12,0,8,4,0,0,12,0,12,0,0,0,0,0,0,0
Uttar Pradesh,2001,Kidnap - For Illicit Intercourse,931,85,229,498,109,4,925,0,925,0,0,0,0,0,0,0
West Bengal,2001,Kidnap - For Illicit Intercourse,38,9,16,11,2,0,38,0,38,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Kidnap - For Marriage,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0
Andhra Pradesh,2001,Kidnap - For Marriage,339,73,164,91,4,0,332,0,339,0,1,6,0,0,7,0
Arunachal Pradesh,2001,Kidnap - For Marriage,41,0,0,39,2,0,41,0,41,0,0,0,0,0,0,0
Assam,2001,Kidnap - For Marriage,751,34,277,346,0,0,660,3,751,0,31,24,30,6,91,0
Bihar,2001,Kidnap - For Marriage,555,27,131,319,7,0,484,0,555,0,9,54,8,0,71,0
Chandigarh,2001,Kidnap - For Marriage,43,26,10,6,1,0,43,0,43,0,0,0,0,0,0,0
Chhattisgarh,2001,Kidnap - For Marriage,148,44,74,27,1,0,146,0,148,2,0,0,0,0,2,0
Dadra & Nagar Haveli,2001,Kidnap - For Marriage,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0
Delhi,2001,Kidnap - For Marriage,351,60,194,65,16,0,336,1,342,0,0,0,0,0,6,6
Goa,2001,Kidnap - For Marriage,4,3,0,1,0,0,4,0,4,0,0,0,0,0,0,0
Gujarat,2001,Kidnap - For Marriage,652,108,329,160,2,0,602,3,653,0,14,31,6,0,51,0
Haryana,2001,Kidnap - For Marriage,174,33,88,51,3,0,175,0,175,0,0,0,0,0,0,0
Himachal Pradesh,2001,Kidnap - For Marriage,89,13,28,33,12,2,88,0,89,1,0,0,0,0,1,0
Jammu & Kashmir,2001,Kidnap - For Marriage,256,2,88,161,5,0,256,0,256,0,0,0,0,0,0,0
Jharkhand,2001,Kidnap - For Marriage,209,0,93,119,2,0,214,0,214,0,0,0,0,0,0,0
Karnataka,2001,Kidnap - For Marriage,116,15,57,41,0,0,113,0,117,0,0,4,0,0,4,0
Kerala,2001,Kidnap - For Marriage,53,3,31,19,0,0,53,0,53,0,0,0,0,0,0,0
Madhya Pradesh,2001,Kidnap - For Marriage,379,76,183,85,21,0,366,1,379,2,6,3,2,0,13,0
Maharashtra,2001,Kidnap - For Marriage,481,77,301,93,6,0,478,1,484,0,2,4,0,0,6,0
Manipur,2001,Kidnap - For Marriage,62,7,27,28,0,0,62,0,62,0,0,0,0,0,0,0
Meghalaya,2001,Kidnap - For Marriage,6,2,2,1,1,0,6,0,6,0,0,0,0,0,0,0
Mizoram,2001,Kidnap - For Marriage,1,0,1,2,0,0,3,0,3,0,0,0,0,0,0,0
Nagaland,2001,Kidnap - For Marriage,5,0,5,1,0,0,6,0,6,0,0,0,0,0,0,0
Odisha,2001,Kidnap - For Marriage,252,0,122,137,0,0,259,0,259,0,0,0,0,0,0,0
Puducherry,2001,Kidnap - For Marriage,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0
Punjab,2001,Kidnap - For Marriage,150,2,88,57,3,0,150,0,150,0,0,0,0,0,0,0
Rajasthan,2001,Kidnap - For Marriage,1563,38,350,834,310,0,1540,8,1563,2,8,13,0,0,23,0
Tamil Nadu,2001,Kidnap - For Marriage,435,3,98,234,0,0,335,0,435,0,48,16,36,0,100,0
Tripura,2001,Kidnap - For Marriage,6,0,8,6,8,0,22,0,22,0,0,0,0,0,0,0
Uttar Pradesh,2001,Kidnap - For Marriage,1647,89,425,901,229,3,1647,0,1647,0,0,0,0,0,0,0
Uttarakhand,2001,Kidnap - For Marriage,90,10,7,73,0,0,90,0,90,0,0,0,0,0,0,0
West Bengal,2001,Kidnap - For Marriage,334,27,141,164,2,0,334,0,334,0,0,0,0,0,0,0
Andhra Pradesh,2001,Kidnap - For Prostitution,36,1,17,16,2,0,36,0,36,0,0,0,0,0,0,0
Arunachal Pradesh,2001,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2001,Kidnap - For Prostitution,7,0,2,5,0,0,7,0,7,0,0,0,0,0,0,0
Bihar,2001,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2001,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2001,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2001,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2001,Kidnap - For Prostitution,3,0,0,0,0,0,0,0,3,0,0,0,2,0,3,1
Himachal Pradesh,2001,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2001,Kidnap - For Prostitution,3,0,1,2,0,0,3,0,3,0,0,0,0,0,0,0
Karnataka,2001,Kidnap - For Prostitution,3,0,3,1,0,0,4,0,4,0,0,0,0,0,0,0
Madhya Pradesh,2001,Kidnap - For Prostitution,3,1,2,2,0,0,5,0,5,0,0,0,0,0,0,0
Maharashtra,2001,Kidnap - For Prostitution,12,0,8,5,0,0,14,1,15,0,0,0,1,0,1,0
Meghalaya,2001,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2001,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2001,Kidnap - For Prostitution,15,0,10,0,0,0,10,0,15,0,0,1,4,0,5,0
Rajasthan,2001,Kidnap - For Prostitution,10,1,0,9,0,0,10,0,10,0,0,0,0,0,0,0
Tamil Nadu,2001,Kidnap - For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2001,Kidnap - For Prostitution,11,1,3,7,0,0,11,0,11,0,0,0,0,0,0,0
West Bengal,2001,Kidnap - For Prostitution,19,1,8,11,0,0,20,0,20,0,0,0,0,0,0,0
Andhra Pradesh,2001,Kidnap - For Ransom,13,0,3,0,0,0,3,0,13,0,6,2,1,0,10,1
Arunachal Pradesh,2001,Kidnap - For Ransom,4,0,0,0,0,0,0,0,4,0,0,2,2,0,4,0
Assam,2001,Kidnap - For Ransom,62,0,3,0,0,0,3,0,62,3,6,26,21,2,59,1
Bihar,2001,Kidnap - For Ransom,492,0,3,2,1,0,6,0,492,17,75,195,111,12,486,76
Chandigarh,2001,Kidnap - For Ransom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2001,Kidnap - For Ransom,3,0,0,0,0,0,0,0,3,1,0,0,1,1,3,0
Delhi,2001,Kidnap - For Ransom,41,1,1,1,1,0,5,1,44,7,1,6,4,1,39,20
Gujarat,2001,Kidnap - For Ransom,30,2,0,0,0,0,2,0,30,5,2,9,11,0,28,1
Haryana,2001,Kidnap - For Ransom,11,0,0,0,0,0,0,0,12,4,2,2,0,0,12,4
Himachal Pradesh,2001,Kidnap - For Ransom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2001,Kidnap - For Ransom,23,0,0,1,0,0,1,0,23,3,4,4,7,4,22,0
Karnataka,2001,Kidnap - For Ransom,20,0,1,1,2,0,4,0,20,1,0,6,5,2,16,2
Kerala,2001,Kidnap - For Ransom,2,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0
Madhya Pradesh,2001,Kidnap - For Ransom,132,1,2,3,0,6,12,0,163,3,25,91,28,2,151,2
Maharashtra,2001,Kidnap - For Ransom,36,0,2,1,0,0,6,3,37,4,13,5,7,0,31,2
Meghalaya,2001,Kidnap - For Ransom,47,0,0,0,0,0,0,0,47,0,2,10,33,1,47,1
Mizoram,2001,Kidnap - For Ransom,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Nagaland,2001,Kidnap - For Ransom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2001,Kidnap - For Ransom,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Punjab,2001,Kidnap - For Ransom,6,0,0,0,0,0,0,0,6,1,1,0,1,0,6,3
Rajasthan,2001,Kidnap - For Ransom,10,0,0,1,0,0,1,0,10,1,0,1,6,0,9,1
Tamil Nadu,2001,Kidnap - For Ransom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2001,Kidnap - For Ransom,80,0,0,0,0,0,0,0,204,45,86,58,15,0,204,0
Uttar Pradesh,2001,Kidnap - For Ransom,323,1,3,18,6,0,29,1,382,52,28,173,85,3,353,12
Uttarakhand,2001,Kidnap - For Ransom,5,0,0,0,0,0,0,0,5,2,0,2,1,0,5,0
West Bengal,2001,Kidnap - For Ransom,24,0,0,0,0,0,0,0,28,1,0,11,9,3,28,4
Andhra Pradesh,2001,Kidnap - For Revenge,47,1,7,4,1,0,13,0,47,4,4,11,12,0,34,3
Arunachal Pradesh,2001,Kidnap - For Revenge,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Assam,2001,Kidnap - For Revenge,95,0,53,36,0,0,89,0,95,1,3,2,0,0,6,0
Bihar,2001,Kidnap - For Revenge,182,0,0,0,1,0,1,0,182,1,29,107,34,5,181,5
Chandigarh,2001,Kidnap - For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2001,Kidnap - For Revenge,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Delhi,2001,Kidnap - For Revenge,15,1,2,2,0,0,6,1,16,3,0,1,3,0,10,3
Gujarat,2001,Kidnap - For Revenge,18,1,1,1,2,0,5,0,18,0,0,6,5,0,13,2
Haryana,2001,Kidnap - For Revenge,25,0,0,0,0,0,0,0,25,3,4,6,6,1,25,5
Himachal Pradesh,2001,Kidnap - For Revenge,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Jammu & Kashmir,2001,Kidnap - For Revenge,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0
Jharkhand,2001,Kidnap - For Revenge,9,0,1,3,0,0,4,0,6,0,0,1,0,0,2,1
Karnataka,2001,Kidnap - For Revenge,18,0,2,0,0,0,5,3,18,2,1,6,3,1,13,0
Kerala,2001,Kidnap - For Revenge,11,0,0,0,2,0,2,0,17,1,0,4,7,1,15,2
Madhya Pradesh,2001,Kidnap - For Revenge,4,0,0,0,0,0,0,0,4,0,0,3,1,0,4,0
Maharashtra,2001,Kidnap - For Revenge,18,1,1,2,0,0,5,1,18,1,2,9,1,0,13,0
Meghalaya,2001,Kidnap - For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2001,Kidnap - For Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,Kidnap - For Revenge,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Odisha,2001,Kidnap - For Revenge,18,0,6,0,0,0,6,0,18,0,8,4,0,0,12,0
Punjab,2001,Kidnap - For Revenge,12,0,0,0,1,0,1,0,12,0,0,1,10,0,11,0
Rajasthan,2001,Kidnap - For Revenge,31,0,0,0,2,0,2,0,31,2,0,21,5,0,29,1
Tamil Nadu,2001,Kidnap - For Revenge,6,0,0,0,0,0,0,0,6,0,0,1,5,0,6,0
Uttar Pradesh,2001,Kidnap - For Revenge,411,2,5,15,3,0,27,2,412,9,58,206,104,8,385,0
West Bengal,2001,Kidnap - For Revenge,15,0,0,1,0,0,1,0,19,1,1,11,3,1,18,1
Andhra Pradesh,2001,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2001,Kidnap - For Sale,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Bihar,2001,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2001,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2001,Kidnap - For Sale,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Delhi,2001,Kidnap - For Sale,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Gujarat,2001,Kidnap - For Sale,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Haryana,2001,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2001,Kidnap - For Sale,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Karnataka,2001,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,2001,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2001,Kidnap - For Sale,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Maharashtra,2001,Kidnap - For Sale,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Meghalaya,2001,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2001,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2001,Kidnap - For Sale,7,0,0,0,0,0,0,0,7,0,2,5,0,0,7,0
Tamil Nadu,2001,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2001,Kidnap - For Sale,20,4,10,1,0,0,15,0,20,0,0,2,2,0,5,1
West Bengal,2001,Kidnap - For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2001,Kidnap - For Selling Bodyparts,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Bihar,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2001,Kidnap - For Selling Bodyparts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2001,Kidnap - For Slavery,10,0,0,1,0,0,1,0,10,3,2,4,0,0,9,0
Bihar,2001,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2001,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2001,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2001,Kidnap - For Slavery,62,14,15,13,3,0,48,3,67,3,2,7,0,0,19,7
Gujarat,2001,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2001,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2001,Kidnap - For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
